Overall #,Round #,Team,Transactions,,,,Player Drafted
,,,Traded ? Kevin Dotson ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 sixth round pick (#195-Luke Newman) to Rams for ? 2024 fourth round pick (#120-Jaylen Wright) ? 2025 fifth round pick (#162-Francisco Mauigoa) on 2023-08-28,"Traded ? 2024 third round pick (#98-Payton Wilson) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#223-Damien Martinez) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#229-Donte Kent) to Steelers for ? Kenny Pickett ? 2024 fourth round pick (#120-Jaylen Wright) on 2024-03-16",Traded ? 2025 third round pick (#79-Jaylin Noel) to Eagles for ? 2024 fourth round pick (#120-Jaylen Wright) on 2024-04-27,,
121,21-Apr,,,,,,A.J. Barner
,,Dolphins,Broncos,Seahawks,,,
,,,,,,,
,,,Traded ? Bradley Chubb ? 2025 fifth round pick (#155-Dante Trader Jr.) to Dolphins for ? Chase Edmonds ? 2023 first round pick (#29-Bryan Bresee) ? 2024 fourth round pick (#121-A.J. Barner) on 2022-11-01,Traded ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 seventh round pick (#235-Devaughn Vele) to Broncos for ? 2024 fourth round pick (#121-A.J. Barner) ? 2024 fifth round pick (#136-Nehemiah Pritchett) ? 2024 sixth round pick (#207-Mike Jerrell) on 2024-04-27,,,
122,22-Apr,,,,,,Tory Taylor
,,Eagles,Bears,,,,
,,,,,,,
,,,Traded ? 2023 first round pick (#9-Jalen Carter) to Eagles for ? 2023 first round pick (#10-Darnell Wright) ? 2024 fourth round pick (#122-Tory Taylor) on 2023-04-27,,,,
123,23-Apr,,,,,,Cade Stover
,,Browns,Texans,Eagles,Texans,,
,,,,,,,
,,,Traded ? Deshaun Watson ? 2024 sixth round pick (#203-Will Reichard) to Browns for ? 2022 first round pick (#13-Jordan Davis) ? 2022 fourth round pick (#107-Dameon Pierce) ? 2023 first round pick (#12-Jahmyr Gibbs) ? 2023 third round pick (#73-Jalin Hyatt) ? 2024 first round pick (#23-Brian Thomas) ? 2024 fourth round pick (#123-Cade Stover) on 2022-03-21,Traded ? 2024 third round pick (#78-Calen Bullock) to Texans for ? 2024 third round pick (#86-Dominick Puni) ? 2024 fourth round pick (#123-Cade Stover) on 2024-04-26,Traded ? 2024 fourth round pick (#127-Will Shipley) ? 2025 fifth round pick (#161-Smael Mondon Jr.) to Eagles for ? 2024 fourth round pick (#123-Cade Stover) on 2024-04-27,,
124,24-Apr,,,,,,Malik Mustapha
,,Cowboys,49ers,,,,
,,,,,,,
,,,Traded ? Trey Lance to Cowboys for ? 2024 fourth round pick (#124-Malik Mustapha) on 2023-08-26,,,,
125,25-Apr,,,,,,Bucky Irving
,,Buccaneers,,,,,
126,26-Apr,,,,,,Giovanni Manu
,,Packers,Jets,Lions,,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#111-Evan Williams) to Packers for ? 2024 fourth round pick (#126-Giovanni Manu) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-27,Traded ? 2025 third round pick (#92-Jalen Milroe) to Jets for ? 2024 fourth round pick (#126-Giovanni Manu) on 2024-04-27,,,
127,27-Apr,,,,,,Will Shipley
,,Texans,Eagles,,,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#123-Cade Stover) to Texans for ? 2024 fourth round pick (#127-Will Shipley) ? 2025 fifth round pick (#161-Smael Mondon Jr.) on 2024-04-27,,,,
128,28-Apr,,,,,,Ray Davis
,,Bills,,,,,
129,29-Apr,,,,,,Isaac Guerendo
,,Lions,Vikings,Jets,49ers,,
,,,,,,,
,,,"Traded ? 2023 second round pick (#55-Rashee Rice) ? 2024 third round pick (#73-Cooper Beebe) to Lions for ? T.J. Hockenson ? 2023 fourth round pick (#119-Chamarri Conner) ? 2024 conditional round pick (fourth round if Vikings do not win a playoff game in 2022, else fifth round) (#129-Isaac Guerendo) on 2022-11-01",Traded ? 2924 first round pick (#10-J.J. McCarthy) ? 2024 sixth round pick (#203-Will Reichard) to Vikings for ? 2024 first round pick (#11-Olu Fashanu) ? 2024 fourth round pick (#129-Isaac Guerendo) ? 2024 fifth round pick (#157-Chau Smith-Wade) on 2024-04-25,Traded ? 2024 fifth round pick (#173-Isaiah Davis) ? 2024 fifth round pick (#176-Qwan'tez Stiggers) to Jets for ? 2024 fourth round pick (#129-Isaac Guerendo) on 2024-04-27,,
130,30-Apr,,,,,,T.J. Tampa
,,Ravens,,,,,
131,Apr-31,,,,,,Jared Wiley
,,Chiefs,,,,,
132,Apr-32,,,,,,Sione Vaki
,,NFL,49ers,Eagles,Lions,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Azeez Al-Shaair, Daniel Brunskill, Samson Ebukam, Jimmy Garoppolo, Mike McGlinchey, Emmanuel Moseley, Charles Omenihu, Hassan Ridgeway, Jimmie Ward",Traded ? 2024 third round pick (#86-Dominick Puni) to 49ers for ? 2024 third round pick (#94-Jalyx Hunt) ? 2024 fourth round pick (#132-Sione Vaki) on 2024-04-26,Traded ? 2024 fifth round pick (#164-Jaylin Simpson) ? 2024 sixth round pick (#201-Micah Abraham) ? 2025 fourth round pick (Eagles pick) (#134-Que Robinson) to Eagles for ? 2024 fourth round pick (#132-Sione Vaki) ? 2024 sixth round pick (#210-Christian Mahogany) on 2024-04-27,,
133,Apr-33,,,,,,Jaden Hicks
,,NFL,Bills,Chiefs,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Tremaine Edmunds, Case Keenum, Devin Singletary",Traded ? 2024 first round pick (#32-Xavier Legette) ? 2024 third round pick (#95-DeWayne Carter) ? 2024 seventh round pick (#221-Travis Clayton) to Bills for ? 2024 first round pick (#28-Xavier Worthy) ? 2024 fourth round pick (#133-Jaden Hicks) ? 2024 seventh round pick (#248-C.J. Hanson) on 2024-04-25,,,
134,Apr-34,,,,,,Braelon Allen
,,NFL,Ravens,Jets,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Josh Oliver, Ben Powers",Traded ? 2024 fourth round pick (#113-Devontez Walker) ? 2024 sixth round pick (#218-Devin Leary) to Ravens for ? Morgan Moses ? 2024 fourth round pick (#134-Braelon Allen) on 2024-03-13,,,
135,Apr-35,,49ers original fourth round pick #131 overall was moved four spots down to #135 overall due due to an administrative payroll accounting error,,,,Jacob Cowing
,,49ers,,,,,
Round 5,,,,,,,
136,1-May,,,,,,Nehemiah Pritchett
,,Panthers,Browns,Broncos,Seahawks,,
,,,,,,,
,,,"Traded ? Baker Mayfield to Panthers for ? 2024 conditional round pick (fourth round if Mayfield plays in 70% of Panthers offensive snaps in 2022, else fifth round) (#136-Nehemiah Pritchett) on 2022-07-12",Traded ? Jerry Jeudy to Browns for ? 2024 fifth round pick (#136-Nehemiah Pritchett) ? 2024 sixth round pick (#203-Will Reichard) on 2024-03-13,Traded ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 seventh round pick (#235-Devaughn Vele) to Broncos for ? 2024 fourth round pick (#121-A.J. Barner) ? 2024 fifth round pick (#136-Nehemiah Pritchett) ? 2024 sixth round pick (#207-Mike Jerrell) on 2024-04-27,,
137,2-May,,,,,,Tarheeb Still
,,Patriots,Chargers,,,,
,,,,,,,
,,,Traded ? 2024 second round pick (#37-Ja'Lynn Polk) ? 2024 fourth round pick (#110-Javon Baker) to Patriots for ? 2024 second round pick (#34-Ladd McConkey) ? 2024 fifth round pick (#137-Tarheeb Still) on 2024-04-26,,,,
138,3-May,,,,,,Xavier Thomas
,,Cardinals,,,,,
139,4-May,,,,,,Jordan Magee
,,Commanders,,,,,
140,5-May,,,,,,Cam Hart
,,Chargers,,,,,
141,6-May,,,,,,Sedrick Van Pran-Granger
,,Giants,Panthers,Bills,,,
,,,,,,,
,,,Traded ? Brian Burns ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) to Giants for ? 2024 second round pick (#39-Braden Fiske) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) ? 2025 fifth round pick (#140-Cam Jackson) on 2024-03-13,Traded ? 2024 first round pick (#32-Xavier Legette) ? 2024 sixth round pick (#200-Jaden Crumedy) to Panthers for ? 2024 second round pick (#33-Keon Coleman) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) on 2024-04-25,,,
142,7-May,,,,,,Anthony Gould
,,Titans,Panthers,Colts,,,
,,,,,,,
,,,Traded ? Dennis Daley ? 2024 seventh round pick (#221-Travis Clayton) to Titans for ? 2024 fifth round pick (#142-Anthony Gould) on 2022-08-29,Traded ? 2024 second round pick (#46-Jonathon Brooks) to Panthers for ? 2024 second round piuck (#52-Adonai Mitchell) ? 2024 fifth round pick (#142-Anthony Gould) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) on 2024-04-26,,,
143,8-May,,,,,,J.D. Bertrand
,,Falcons,,,,,
144,9-May,,,,,,Austin Booker
,,Bears,Bills,Bears,,,
,,,,,,,
,,,Traded ? Ryan Bates to Bears for ? 2024 fifth round pick (#144-Austin Booker) on 2024-03-13,Traded ? 2025 fourth round pick (#109-Deone Walker) to Bills for ? 2024 fifth round pick (#144-Austin Booker) on 2024-04-27,,,
145,10-May,,,,,,Kris Abrams-Draine
,,Jets,Broncos,,,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#113-Devontez Walker) to Jets for ? Jake Martin ? 2024 fifth round pick (#145-Kris Abrams-Draine) on 2022-11-01,,,,
146,11-May,,,,,,Jarvis Brownlee Jr.
,,Vikings,Eagles,Titans,,,
,,,,,,,
,,,"Traded ? Jalen Reagor to Vikings for ? 2023 seventh round pick (#219-Antoine Green) ? 2024 conditional round pick (fourth round if Reagor has 40 receptions or 500 receiving yards or 5 touchdowns in either 2022 or 2023, else fifth round) (#146-Jarvis Brownlee Jr.) on 2022-08-31",Traded ? Kevin Byard to Eagles for ? Terrell Edmunds ? 2024 fifth round pick (most favorable of Eagles picks) (#146-Jarvis Brownlee Jr.) ? 2024 sixth round pick (most favorable of Eagles picks) (#182-Jha'Quan Jackson) on 2023-10-24,,,
147,12-May,,,,,,Audric Estime
,,Broncos,,,,,
148,13-May,,,,,,Tommy Eichenberg
,,Raiders,,,,,
149,14-May,,,,,,Josh Newton
,,Bengals,,,,,
150,15-May,,,,,,Spencer Rattler
,,Saints,,,,,
151,16-May,,,,,,Jaylon Carlies
,,Colts,,,,,
152,17-May,,,,,,Ainias Smith
,,Seahawks,Commanders,Eagles,,,
,,,,,,,
,,,Traded ? Sam Howell ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 sixth round pick (#179-Sataoa Laumea) to Seahawks for ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) on 2024-03-15,Traded ? 2024 second round pick (#50-Mike Sainristil) ? 2024 second round pick (#53-Ben Sinnott) ? 2024 fifth round pick (#161-Dominique Hampton) to Commanders for ? 2024 second round pick (#40-Cooper DeJean) ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) on 2024-04-26,,,
153,18-May,,,,,,Deantre Prince
,,Jaguars,,,,,
154,19-May,,,,,,Brennan Jackson
,,Rams,,,,,
155,20-May,,,,,,Jeremiah Trotter Jr.
,,Steelers,Rams,Panthers,Colts,Eagles,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#120-Jaylen Wright) ? 2025 fifth round pick (#162-Francisco Mauigoa) to Steelers for ? Kevin Dotson ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 sixth round pick (#195-Luke Newman) on 2023-08-28,Traded ? 2024 second round pick (#39-Braden Fiske) to Rams for ? 2024 second round pick (#52-Adonai Mitchell) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 second round pick (#57-Tate Ratledge) on 2024-04-26,Traded ? 2024 second round pick (#46-Jonathon Brooks) to Panthers for ? 2024 second round piuck (#52-Adonai Mitchell) ? 2024 fifth round pick (#142-Anthony Gould) ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) on 2024-04-26,Traded ? 2024 fifth round pick (#164-Jaylin Simpson) ? 2024 sixth round pick (#201-Micah Abraham) to Colts for ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) on 2024-04-27,
156,21-May,,,,,,Jamari Thrash
,,Eagles,Cardinals,Browns,,,
,,,,,,,
,,,Traded ? 2023 third round pick (#66-Sydney Brown) to Eagles for ? 2023 third round pick (#94-Michael Wilson) ? 2024 fifth round pick (#156-Jamari Thrash) on 2023-04-27,Traded ? Joshua Dobbs ? 2024 seventh round pick (#230-Michael Jurgens) to Cardinals for ? 2024 fifth round pick (#156-Jamari Thrash) on 2023-08-25,,,
,,,,,,,
,,,(to settle tampering issue over Jonathan Gannon hire),,,,
157,22-May,,,,,,Chau Smith-Wade
,,Browns,Vikings,Jets,Panthers,,
,,,,,,,
,,,Traded ? Za'Darius Smith ? 2025 sixth round pick (#200-Rayuan Lane III) ? 2025 seventh round pick (#240-Kaden Prather) to Browns for ? 2024 fifth round pick (#157-Chau Smith-Wade) ? 2025 fifth round pick (#139-Tyrion Ingram-Dawkins) on 2023-05-16,Traded ? 2924 first round pick (#10-J.J. McCarthy) ? 2024 sixth round pick (#203-Will Reichard) to Vikings for ? 2024 first round pick (#11-Olu Fashanu) ? 2024 fourth round pick (#129-Isaac Guerendo) ? 2024 fifth round pick (#157-Chau Smith-Wade) on 2024-04-25,Traded ? 2024 third round pick (#65-Malachi Corley) to Jets for ? 2024 third round pick (#72-Trevin Wallace) ? 2024 fifth round pick (#157-Chau Smith-Wade) on 2024-04-26,,
158,23-May,,,,,,Mohamed Kamara
,,Dolphins,,,,,
159,24-May,,,,,,Hunter Nourzad
,,Cowboys,Chiefs,,,,
,,,,,,,
,,,Traded ? 2023 sixth round pick (#178-Eric Scott Jr.) to Cowboys for ? 2024 fifth round pick (#159-Hunter Nourzad) on 2023-04-29,,,,
160,25-May,,,,,,Edefuan Ulofoshio
,,Packers,Bills,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#91-Ty'Ron Hopper) to Packers for ? Rasul Douglas ? 2024 fifth round pick (#160-Edefuan Ulofoshio) on 2023-10-31,,,,
161,26-May,,,,,,Dominique Hampton
,,Buccaneers,Eagles,Commanders,,,
,,,,,,,
,,,Traded ? 2023 sixth round pick (#191-Trey Palmer) to Buccaneers for ? 2024 fifth round pick (#161-Dominique Hampton) on 2023-04-29,Traded ? 2024 second round pick (#40-Cooper DeJean) ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) to Eagles for ? 2024 second round pick (#50-Mike Sainristil) ? 2024 second round pick (#53-Ben Sinnott) ? 2024 fifth round pick (#161-Dominique Hampton) on 2024-04-26,,,
162,27-May,,,,,,Christian Jones
,,Texans,Cardinals,,,,
,,,,,,,
,,,Traded ? Josh Jones ? 2024 seventh round pick (#224-Daijahn Anthony) to Texans for ? 2024 fifth round pick (#162-Christian Jones) on 2023-08-25,,,,
163,28-May,,,,,,Jacob Monk
,,Bills,Packers,,,,
,,,,,,,
,,,Traded ? 2024 fifth round pick (#168-Javon Solomon) ? 2024 sixth round pick (#219-Daequan Hardy) to Bills for ? 2024 fifth round pick (#163-Jacob Monk) on 2024-04-27,,,,
164,29-May,,,,,,Jaylin Simpson
,,Lions,Eagles,Colts,,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#132-Sione Vaki) ? 2024 sixth round pick (#210-Christian Mahogany) to Lions for ? 2024 fifth round pick (#164-Jaylin Simpson) ? 2024 sixth round pick (#201-Micah Abraham) ? 2025 fourth round pick (Eagles pick) (#134-Que Robinson) on 2024-04-27,Traded ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) to Eagles for ? 2024 fifth round pick (#164-Jaylin Simpson) ? 2024 sixth round pick (#201-Micah Abraham) on 2024-04-27,,,
165,30-May,,,,,,Rasheen Ali
,,Ravens,,,,,
166,31-May,,,,,,Tyrone Tracy Jr.
,,49ers,Panthers,Giants,,,
,,,,,,,
,,,Traded ? Christian McCaffrey to 49ers for ? 2023 second round pick (#61-Brenton Strange) ? 2023 third round pick (#93-Darnell Washington) ? 2023 fourth round pick (#132-Nick Herbig) ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) on 2022-10-21,Traded ? 2024 second round pick (#39-Braden Fiske) ? 2024 fifth round pick (#141-Sedrick Van Pran-Granger) ? 2025 fifth round pick (#140-Cam Jackson) to Panthers for ? Brian Burns ? 2024 fifth round pick (#166-Tyrone Tracy Jr.) on 2024-03-13,,,
167,May-32,,,,,,Keilan Robinson
,,Chiefs,Vikings,Jaguars,,,
,,,,,,,
,,,Traded ? 2023 fourth round pick (#119-Chamarri Conner) to Chiefs for ? 2023 fourth round pick (#134-Jay Ward) ? 2024 fifth round pick (#167-Keilan Robinson) on 2023-04-29,Traded ? 2024 first round pick (#17-Dallas Turner) to Vikings for ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 fifth round pick (#167-Keilan Robinson) ? 2025 third round pick (#88-Caleb Ransaw) ? 2025 fourth round pick (#126-Dylan Sampson) on 2024-04-25,,,
168,May-33,,,,,,Javon Solomon
,,NFL,Saints,Packers,Bills,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Andy Dalton, Marcus Davenport, Kaden Elliss, Deonte Harty, David Onyemata, Shy Tuttle",Traded ? 2024 second round pick (#41-Kool-Aid McKinstry) to Saints for ? 2024 second round pick (#45-Edgerrin Cooper) ? 2024 fifth round pick (#168-Javon Solomon) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-26,Traded ? 2024 fifth round pick (#163-Jacob Monk) to Packers for ? 2024 fifth round pick (#168-Javon Solomon) ? 2024 sixth round pick (#219-Daequan Hardy) on 2024-04-27,,
169,May-34,,,,,,Kitan Oladapo
,,NFL,Packers,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Allen Lazard, Dean Lowry, Jarran Reed, Robert Tonyan",,,,
170,May-35,,,,,,Bub Means
,,NFL,Saints,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Andy Dalton, Marcus Davenport, Kaden Elliss, Deonte Harty, David Onyemata, Shy Tuttle",,,,
171,May-36,,,,,,Jordan Travis
,,NFL,Eagles,Jets,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Andre Dillard, T.J. Edwards, Marcus Epps, Chauncey Gardner-Johnson, Javon Hargrave, Gardner Minshew, Miles Sanders, Isaac Seumalo, Kyzir White",Traded ? 2024 sixth round pick (#185-Johnny Wilson) ? 2024 sixth round pick (#190-Dylan McMahon) to Eagles for ? 2024 fifth round pick (#171-Jordan Travis) on 2024-04-27,,,
172,May-37,,,,,,Trevor Keegan
,,NFL,Eagles,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Andre Dillard, T.J. Edwards, Marcus Epps, Chauncey Gardner-Johnson, Javon Hargrave, Gardner Minshew, Miles Sanders, Isaac Seumalo, Kyzir White",,,,
173,May-38,,,,,,Isaiah Davis
,,NFL,Chiefs,49ers,Jets,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Orlando Brown, Mecole Hardman, Khalen Saunders, JuJu Smith-Schuster, Juan Thornhill, Andrew Wylie",Traded ? 2024 second round pick (#63-Kingsley Suamataia) ? 2024 sixth round pick (#211-Kamal Hadden) to Chiefs for ? 2024 second round pick (#64-Renardo Green) ? 2024 fifth round pick (#173-Isaiah Davis) on 2024-04-26,Traded ? 2024 fourth round pick (#129-Isaac Guerendo) to 49ers for ? 2024 fifth round pick (#173-Isaiah Davis) ? 2024 fifth round pick (#176-Qwan'tez Stiggers) on 2024-04-27,,
174,May-39,,,,,,Caelen Carson
,,NFL,Cowboys,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Noah Brown, Connor McGovern, Dalton Schultz",,,,
175,May-40,,,,,,Jaylan Ford
,,NFL,Saints,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Andy Dalton, Marcus Davenport, Kaden Elliss, Deonte Harty, David Onyemata, Shy Tuttle",,,,
176,May-41,,,,,,Qwan'tez Stiggers
,,NFL,49ers,Jets,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Azeez Al-Shaair, Daniel Brunskill, Samson Ebukam, Jimmy Garoppolo, Mike McGlinchey, Emmanuel Moseley, Charles Omenihu, Hassan Ridgeway, Jimmie Ward",Traded ? 2024 fourth round pick (#129-Isaac Guerendo) to 49ers for ? 2024 fifth round pick (#173-Isaiah Davis) ? 2024 fifth round pick (#176-Qwan'tez Stiggers) on 2024-04-27,,,
Round 6,,,,,,,
177,1-Jun,,,,,,Walter Rouse
,,Panthers,Jaguars,Vikings,,,
,,,,,,,
,,,Traded ? Laviska Shenault Jr. to Panthers for ? 2023 seventh round pick (#226-Cooper Hodges) ? 2024 sixth round pick (#177-Walter Rouse) on 2022-08-30,Traded ? Ezra Cleveland to Jaguars for ? 2024 sixth round pick (#177-Walter Rouse) on 2023-10-31,,,
178,2-Jun,,,,,,Logan Lee
,,Cardinals,Panthers,Steelers,,,
,,,,,,,
,,,Traded ? Robbie Anderson to Cardinals for ? 2024 sixth round pick (#178-Logan Lee) ? 2025 seventh round pick (#230-Dan Jackson) on 2022-10-17,Traded ? Diontae Johnson ? 2024 seventh round pick (#240-Michael Barrett) to Panthers for ? Donte Jackson ? 2024 sixth round pick (#178-Logan Lee) on 2024-03-13,,,
179,3-Jun,,,,,,Sataoa Laumea
,,Commanders,Seahawks,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#78-Calen Bullock) ? 2024 fifth round pick (#152-Ainias Smith) to Commanders for ? Sam Howell ? 2024 fourth round pick (#102-Troy Franklin) ? 2024 sixth round pick (#179-Sataoa Laumea) on 2024-03-15,,,,
180,4-Jun,,,,,,Marcellas Dial
,,Patriots,,,,,
181,5-Jun,,,,,,Kimani Vidal
,,Chargers,,,,,
182,6-Jun,,,,,,Jha'Quan Jackson
,,Titans,Eagles,Titans,,,
,,,,,,,
,,,"Traded ? Ugochukwu ""Ugo"" Amadi ? 2024 seventh round pick (#242-James Williams) to Titans for ? 2024 sixth round pick (#182-Jha'Quan Jackson) on 2022-08-24",Traded ? Kevin Byard to Eagles for ? Terrell Edmunds ? 2024 fifth round pick (most favorable of Eagles picks) (#146-Jarvis Brownlee Jr.) ? 2024 sixth round pick (most favorable of Eagles picks) (#182-Jha'Quan Jackson) on 2023-10-24,,,
183,7-Jun,,,,,,Darius Muasau
,,Giants,,,,,
184,8-Jun,,,,,,Malik Washington
,,Bears,Dolphins,,,,
,,,,,,,
,,,Traded ? Dan Feeney to Bears for ? 2024 sixth round pick (#184-Malik Washington) on 2023-08-29,,,,
185,9-Jun,,,,,,Johnny Wilson
,,Jets,Eagles,,,,
,,,,,,,
,,,Traded ? 2024 fifth round pick (#171-Jordan Travis) to Jets for ? 2024 sixth round pick (#185-Johnny Wilson) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-27,,,,
186,10-Jun,,,,,,Jase McClellan
,,Vikings,Cardinals,Falcons,,,
,,,,,,,
,,,Traded ? Joshua Dobbs ? 2024 conditional seventh round pick (#230-Michael Jurgens) to Vikings for ? 2024 sixth round pick (#186-Jase McClellan) on 2023-10-31,Traded ? 2024 second round pick (#43-Max Melton) ? 2024 third round pick (#79-Matt Goncalves) to Cardinals for ? 2024 second round pick (#35-Ruke Orhorhoro) ? 2024 sixth round pick (#186-Jase McClellan) on 2024-04-26,,,
187,11-Jun,,,,,,Casey Washington
,,Falcons,,,,,
188,12-Jun,,,,,,Jamal Hill
,,Raiders,Patriots,Vikings,Texans,,
,,,,,,,
,,,Traded ? Justin Herron ? 2024 seventh round pick (#223-Trey Taylor) to Raiders for ? 2024 sixth round pick (#188-Jamal Hill) on 2022-09-21,Traded ? Vederian Lowe to Patriots for ? 2024 sixth round pick (#188-Jamal Hill) on 2023-08-28,Traded ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 seventh round pick (#232-Levi Drake Rodriguez) to Vikings for ? 2024 second round pick (#42-Kamari Lassiter) ? 2024 sixth round pick (#188-Jamal Hill) ? 2025 second round pick (#56-Ozzy Trapilo) on 2024-03-15,,
189,13-Jun,,,,,,Mekhi Wingo
,,Broncos,Rams,Bills,Texans,Lions,
,,,,,,,
,,,Traded ? Kenny Young ? 2024 seventh round pick (#239-Josiah Ezirim) to Broncos for ? 2024 sixth round pick (#189-Mekhi Wingo) on 2021-10-25,Traded ? 2023 sixth round pick (#215-Zach Evans) to Rams for ? 2023 seventh round pick (#252-Alex Austin) ? 2024 sixth round pick (#189-Mekhi Wingo) on 2023-04-29,Traded ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) to Bills for ? Stefon Diggs ? 2024 fifth round pick (#189-Mekhi Wingo) ? 2025 fifth round pick (#166-Tory Horton) on 2024-04-03,Traded ? 2024 sixth round pick (#205-Jawhar Jordan) ? 2024 seventh round pick (#249-LaDarius Henderson) to Texans for ? 2024 fifth round pick (#189-Mekhi Wingo) on 2024-04-27,
190,14-Jun,,,,,,Dylan McMahon
,,Saints,Packers,Jets,Eagles,,
,,,,,,,
,,,Traded ? 2024 second round pick (#41-Kool-Aid McKinstry) to Saints for ? 2024 second round pick (#45-Edgerrin Cooper) ? 2024 fifth round pick (#168-Javon Solomon) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-26,Traded ? 2024 fourth round pick (#111-Evan Williams) to Packers for ? 2024 fourth round pick (#126-Giovanni Manu) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-27,Traded ? 2024 fifth round pick (#171-Jordan Travis) to Jets for ? 2024 sixth round pick (#185-Johnny Wilson) ? 2024 sixth round pick (#190-Dylan McMahon) on 2024-04-27,,
191,15-Jun,,,,,,Tejhaun Palmer
,,Colts,Cardinals,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#79-Matt Goncalves) to Colts for ? 2024 third round pick (#82-Tip Reiman) ? 2024 sixth round pick (#191-Tejhaun Palmer) on 2024-04-26,,,,
192,16-Jun,,,,,,D.J. James
,,Seahawks,,,,,
193,17-Jun,,,,,,Joe Milton III
,,Jaguars,Patriots,,,,
,,,,,,,
,,,Traded ? Mac Jones to Jaguars for ? 2024 sixth round pick (#192-Joe Milton III) on 2024-03-13,,,,
194,18-Jun,,,,,,Tanner McLachlan
,,Bengals,,,,,
195,19-Jun,,,,,,Ryan Watts
,,Steelers,,,,,
196,20-Jun,,,,,,Tyler Davis
,,Rams,,,,,
197,21-Jun,,,,,,Zion Logue
,,Browns,Falcons,,,,
,,,,,,,
,,,Traded ? Deion Jones ? 2024 seventh round pick (#230-Michael Jurgens) to Browns for ? 2024 sixth round pick (#197-Zion Logue) on 2022-10-10,,,,
198,22-Jun,,,,,,Patrick McMorris
,,Dolphins,,,,,
199,23-Jun,,,,,,Khristian Boyd
,,Eagles,Saints,,,,
,,,,,,,
,,,"Traded ? Chauncey Gardner-Johnson ? 2025 seventh round pick (#223-Damien Martinez) to Eagles for ? 2023 fifth round pick (#165-Terell Smith) ? 2024 sixth round pick (less favorable of Eagles, Titans picks) (#199-Khristian Boyd) on 2022-08-30",,,,
200,24-Jun,,,,,,Jaden Crumedy
,,Cowboys,Texans,Bills,Panthers,,
,,,,,,,
