Overall #,Round #,Team,Transactions,,,,,Player Drafted
Round 1,,,,,,,,
190,13-Jun,,,,,,,Luke Wypler
,,Browns,,,,,,
191,14-Jun,,,,,,,Trey Palmer
,,Packers,Rams,Texans,Eagles,Buccaneers,,
,,,,,,,,
,,,Traded ? Corey Bojorquez ? 2023 seventh round pick (#235-Lew Nichols III) to Packers for ? 2023 sixth round pick (#191-Trey Palmer) on 2021-08-31,"Traded ? 2023 third round pick (#73-Jalin Hyatt) ? 2023 fifth round pick (#161-Nick Hampton) to Rams for ? 2023 third round pick (#69-Nathaniel ""Tank"" Dell) ? 2023 sixth round pick (#191-Trey Palmer) on 2023-04-28",Traded ? 2023 seventh round pick (#230-Nick Broeker) ? 2023 seventh round pick (#248-Brandon Hill) to Texans for ? 2023 sixth round pick (#191-Trey Palmer) on 2023-04-29,Traded ? 2024 fifth round pick (#161-Dominique Hampton) to Eagles for ? 2023 sixth round pick (#191-Trey Palmer) on 2023-04-29,,
192,15-Jun,,,,,,,Bryce Baringer
,,Patriots,,,,,,
193,16-Jun,,,,,,,Chris Rodriguez Jr.
,,Commanders,,,,,,
194,17-Jun,,,,,,,Keondre Coburn
,,Lions,Chiefs,,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#63-Marvin Mims) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 seventh round pick (#249-Moro Ojomo) to Lions for ? 2023 second round pick (#55-Rashee Rice) ? 2023 sixth round pick (#194-Keondre Coburn) on 2023-04-28,,,,,
195,18-Jun,,,,,,,A.T. Perry
,,Steelers,Broncos,Saints,,,,
,,,,,,,,
,,,Traded ? Malik Reed ? 2023 seventh round pick (#241-Cory Trice) to Steelers for ? 2023 sixth round pick (#195-A.T. Perry) on 2022-08-30,Traded ? Adam Trautman ? 2023 seventh round pick (#257-Alex Forsyth) to Broncos for ? 2023 sixth round pick (#195-A.T. Perry) on 2023-04-29,,,,
196,19-Jun,,,,,,,Jose Ramirez
,,Buccaneers,,,,,,
197,20-Jun,,,,,,,Elijah Higgins
,,Dolphins,,,,,,
198,21-Jun,,,,,,,Jerrick Reed II
,,Seahawks,,,,,,
199,22-Jun,,,,,,,Malaesala Aumavae-Laulu
,,Ravens,,,,,,
200,23-Jun,,,,,,,Scott Matlock
,,Chargers,Bears,Chargers,,,,
,,,,,,,,
,,,Traded ? Khalil Mack to Chargers for ? 2022 second round pick (#48-Jaquan Brisker) ? 2023 sixth round pick (#200-Scott Matlock) on 2022-03-16,Traded ? 2022 seventh round pick (#254-Elijah Hicks) ? 2022 seventh round pick (#255-Trenton Gill) to Bears for ? 2023 sixth round pick (#200-Scott Matlock) on 2022-04-30,,,,
201,24-Jun,,,,,,,Jarrett Patterson
,,Vikings,Texans,,,,,
,,,,,,,,
,,,Traded ? Ross Blacklock ? 2023 seventh round pick (#219-Antoine Green) to Vikings for ? 2023 sixth round pick (#201-Jarrett Patterson) on 2022-08-30,,,,,
202,25-Jun,,,,,,,Christian Braswell
,,Jaguars,,,,,,
203,26-Jun,,,,,,,Amari Burney
,,Giants,Texans,Raiders,,,,
,,,,,,,,
,,,Traded ? Keion Crossen to Giants for ? 2023 sixth round pick (#203-Amari Burney) on 2021-08-16,Traded ? 2023 fourth round pick (#109-Dylan Horton) ? 2023 fifth round pick (#174-Warren McClendon) to Texans for ? 2023 fourth round pick (#104-Jakorian Bennett) ? 2023 sixth round pick (#203-Amari Burney) on 2023-04-29,,,,
204,27-Jun,,,,,,,Jarrick Bernard-Converse
,,Cowboys,Raiders,Jets,,,,
,,,,,,,,
,,,Traded ? Johnathan Hankins ? 2024 seventh round pick (#233-Nathan Thomas) to Cowboys for ? 2023 sixth round pick (#204-Jarrick Bernard-Converse) on 2022-10-25,Traded ? 2023 fifth round pick (#170-Chris Smith II) to Raiders for ? 2023 sixth round pick (#204-Jarrick Bernard-Converse) ? 2023 seventh round pick (#220-Zack Kuntz) on 2023-04-29,,,,
205,28-Jun,,,,,,,Xavier Hutchinson
,,Bills,Texans,,,,,
,,,,,,,,
,,,Traded ? 2023 seventh round pick (#230-Nick Broeker) ? 2024 sixth round pick (#200-Jaden Crumedy) to Bills for ? 2023 sixth round pick (#205-Xavier Hutchinson) on 2023-04-29,,,,,
206,29-Jun,,,,,,,Andrei Iosivas
,,Bengals,,,,,,
207,30-Jun,,,,,,,Anders Carlson
,,49ers,Texans,Jets,Packers,,,
,,,,,,,,
,,,Traded ? Charles Omenihu to 49ers for ? 2023 sixth round pick (#207-Anders Carlson) on 2021-11-02,Traded ? Blake Cashman to Texans for ? 2023 sixth round pick (#207-Anders Carlson) on 2022-03-16,"Traded ? Aaron Rodgers ? 2023 first round pick (#15-Will McDonald IV) ? 2023 fifth round pick (#170-Chris Smith II) to Jets for ? 2023 first round pick (#13-Lukas Van Ness) ? 2023 second round pick (#42-Luke Musgrave) ? 2023 sixth round pick (#207-Anders Carlson) ? 2024 conditional round pick (first round pick if Rodgers plays 65% of snaps in 2023 season, else second round) (#41-Kool-Aid McKinstry) on 2023-04-26",,,
208,Jun-31,,,,,,,Erick Hallett II
,,Eagles,Jaguars,,,,,
,,,,,,,,
,,,Traded ? Josiah Scott to Eagles for ? Jameson Houston ? 2023 sixth round pick (#208-Erick Hallett II) on 2021-05-18,,,,,
209,Jun-32,,,,,,,Tre Hawkins III
,,Chiefs,Giants,,,,,
,,,,,,,,
,,,Traded ? Kadarius Toney to Chiefs for ? 2023 third round pick (compensatory) (#100-Tre Tucker) ? 2023 sixth round pick (#209-Tre Hawkins III) on 2022-10-27,,,,,
210,Jun-33,,,,,,,Demario Douglas
,,NFL,Patriots,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? J.C. Jackson ? Ted Karras,,,,,
211,Jun-34,,,,,,,Titus Leo
,,NFL,Vikings,Colts,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Mason Cole ? Tyler Conklin ? Xavier Woods,Traded ? 2023 fifth round pick (#141-Jaquelin Roy) to Vikings for ? 2023 fifth round pick (#158-Daniel Scott) ? 2023 sixth round pick (#211-Titus Leo) on 2023-04-29,,,,
212,Jun-35,,,,,,,Deuce Vaughn
,,NFL,Cowboys,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Randy Gregory ? Connor Williams ? Cedrick Wilson,,,,,
213,Jun-36,,,,,,,Dante Stills
,,NFL,Cardinals,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Chase Edmonds ? Chandler Jones ? Christian Kirk,,,,,
214,Jun-37,,,,,,,Ameer Speed
,,NFL,Raiders,Patriots,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Brandon Facyson ? Casey Hayward ? Quinton Jefferson ? Zay Jones ? Marcus Mariota ? Nicholas Morrow,Traded ? 2023 fourth round pick (#135-Aidan O'Connell) to Raiders for ? 2023 fifth round pick (#144-Atonio Mafi) ? 2023 sixth round pick (#214-Ameer Speed) on 2023-04-29,,,,
215,Jun-38,,,,,,,Zach Evans
,,NFL,Commanders,Bills,Rams,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Brandon Scherff ? Tim Settle,Traded ? 2023 fifth round pick (#137-K.J. Henry) to Commanders for ? 2023 fifth round pick (#150-Justin Shorter) ? 2023 sixth round pick (#215-Zach Evans) on 2023-04-29,Traded ? 2023 seventh round pick (#252-Alex Austin) ? 2024 sixth round pick (#189-Mekhi Wingo) to Bills for ? 2023 sixth round pick (#215-Zach Evans) on 2023-04-29,,,
216,Jun-39,,,,,,,Dee Winters
,,NFL,49ers,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? D.J. Jones ? Arden Key ? Raheem Mostert ? Laken Tomlinson ? K'Waun Williams,,,,,
217,Jun-40,,,,,,,Brad Robbins
,,NFL,Chiefs,Bengals,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Austin Blythe ? Melvin Ingram ? Byron Pringle ? Jarran Reed ? Charvarius Ward,Traded ? 2023 third round pick (#92-Wanya Morris) to Chiefs for ? 2023 third round pick (#95-Jordan Battle) ? 2023 sixth round pick (#217-Brad Robbins) on 2023-04-28,,,,
Round 7,,,,,,,,
218,1-Jul,,,,,,,Travis Bell
,,Bears,,,,,,
219,2-Jul,,,,,,,Antoine Green
,,Texans,Vikings,Eagles,Lions,,,
,,,,,,,,
,,,Traded ? 2023 sixth round pick (#201-Jarrett Patterson) to Texans for ? Ross Blacklock ? 2023 seventh round pick (#219-Antoine Green) on 2022-08-30,"Traded ? Jalen Reagor to Vikings for ? 2023 seventh round pick (#219-Antoine Green) ? 2024 conditional round pick (fourth round if Reagor has 40 receptions or 500 receiving yards or 5 touchdowns in either 2022 or 2023, else fifth round) (#146-Jarvis Brownlee Jr.) on 2022-08-31",Traded ? D'Andre Swift ? 2023 seventh round pick (#249-Moro Ojomo) to Eagles for ? 2023 seventh round pick (#219-Antoine Green) ? 2025 fourth round pick (#134-Que Robinson) on 2023-04-29,,,
220,3-Jul,,,,,,,Zack Kuntz
,,Cardinals,Raiders,Jets,,,,
,,,,,,,,
,,,"Traded ? Trayvon Mullen to Cardinals for ? 2023 conditional round pick (sixth round if Mullen is active for 10 games in 2022, else seventh round) (#220-Zack Kuntz) on 2022-08-30",Traded ? 2023 fifth round pick (#170-Chris Smith II) to Raiders for ? 2023 sixth round pick (#204-Jarrick Bernard-Converse) ? 2023 seventh round pick (#220-Zack Kuntz) on 2023-04-29,,,,
221,4-Jul,,,,,,,Jaylon Jones
,,Colts,,,,,,
222,5-Jul,,,,,,,DeWayne McBride
,,Broncos,49ers,Vikings,,,,
,,,,,,,,
,,,Traded ? Jonas Griffith ? 2022 seventh round pick (#250-Brittain Brown) to Broncos for ? 2022 sixth round pick (#187-Nick Zakelj) ? 2023 seventh round pick (#222-DeWayne McBride) on 2021-08-31,Traded ? 2023 third round pick (#87-Ji'Ayir Brown) to 49ers for ? 2023 third round pick (#102-Mekhi Blackmon) ? 2023 fifth round pick (#164-Jaren Hall) ? 2023 seventh round pick (#222-DeWayne McBride) on 2023-04-28,,,,
223,6-Jul,,,,,,,Ethan Evans
,,Rams,,,,,,
224,7-Jul,,,,,,,DeMarcco Hellams
,,Raiders,Falcons,,,,,
,,,,,,,,
,,,Traded ? 2023 fifth round pick (#144-Atonio Mafi) to Raiders for ? Bryan Edwards ? 2023 conditional seventh round pick (#224-DeMarcco Hellams) on 2022-05-13,,,,,
225,8-Jul,,,,,,,Jovaughn Gwyn
,,Falcons,,,,,,
226,9-Jul,,,,,,,Cooper Hodges
,,Panthers,Jaguars,,,,,
,,,,,,,,
,,,Traded ? Laviska Shenault Jr. to Panthers for ? 2023 seventh round pick (#226-Cooper Hodges) ? 2024 sixth round pick (#177-Walter Rouse) on 2022-08-30,,,,,
227,10-Jul,,,,,,,Raymond Vohasek
,,Saints,Jaguars,,,,,
,,,,,,,,
,,,Traded ? 2023 fourth round pick (#127-Jake Haener) to Saints for ? 2023 seventh round pick (#227-Raymond Vohasek) ? 2024 fourth round pick (#116-Jordan Jefferson) on 2023-04-29,,,,,
228,11-Jul,,,,,,,Colton Dowell
,,Titans,,,,,,
229,12-Jul,,,,,,,Andrew Vorhees
,,Browns,Ravens,,,,,
,,,,,,,,
,,,Traded ? 2024 sixth round pick (#206-Nathaniel Watson) to Browns for ? 2023 seventh round pick (#229-Andrew Vorhees) on 2023-04-29,,,,,
230,13-Jul,,,,,,,Nick Broeker
,,Jets,Buccaneers,Texans,Eagles,Texans,Bills,
,,,,,,,,
,,,Traded ? 2022 sixth round pick (#206-Matt Henningsen) to Jets for ? Steve McLendon ? 2023 seventh round pick (#230-Nick Broeker) on 2020-10-19,Traded ? 2023 sixth round pick (#179-Karl Brooks) to Buccaneers for ? Shaq Mason ? 2023 seventh round pick (#230-Nick Broeker) on 2023-03-15,Traded ? 2023 second round pick (#62-Juice Scruggs) to Texans for ? 2023 third round pick (#65-Tyler Steen) ? 2023 sixth round pick (#188-Tanner McKee) ? 2023 seventh round pick (#230-Nick Broeker) on 2023-04-28,Traded ? 2023 sixth round pick (#191-Trey Palmer) to Eagles for ? 2023 seventh round pick (#230-Nick Broeker) ? 2023 seventh round pick (#248-Brandon Hill) on 2023-04-29,Traded ? 2023 sixth round pick (#205-Xavier Hutchinson) to Texans for ? 2023 seventh round pick (#230-Nick Broeker) ? 2024 sixth round pick (#200-Jaden Crumedy) on 2023-04-29,
231,14-Jul,,,,,,,Nesta Jade Silvera
,,Patriots,Raiders,,,,,
,,,,,,,,
,,,Traded ? 2023 sixth round pick (#184-Zaire Barnes) to Patriots for ? Jarrett Stidham ? 2023 seventh round pick (#231-Nesta Jade Silvera) on 2022-05-13,,,,,
232,15-Jul,,,,,,,Carrington Valentine
,,Packers,,,,,,
233,16-Jul,,,,,,,Andre Jones
,,Commanders,,,,,,
234,17-Jul,,,,,,,Jason Taylor II
,,Steelers,Rams,,,,,
,,,,,,,,
,,,Traded ? Allen Robinson II ? 2023 seventh round pick (#251-Spencer Anderson) to Steelers for ? 2023 seventh round pick (#234-Jason Taylor II) on 2023-04-21,,,,,
235,18-Jul,,,,,,,Lew Nichols III
,,Lions,Rams,Packers,,,,
,,,,,,,,
,,,Traded ? Michael Brockers to Lions for ? 2023 seventh round pick (#235-Lew Nichols III) on 2021-03-17,Traded ? 2023 sixth round pick (#191-Trey Palmer) to Rams for ? Corey Bojorquez ? 2023 seventh round pick (#235-Lew Nichols III) on 2021-08-31,,,,
236,19-Jul,,,,,,,Jake Witt
,,Buccaneers,Colts,,,,,
,,,,,,,,
,,,Traded ? 2023 sixth round pick (#181-Josh Hayes) to Buccaneers for ? Grant Stuard ? 2023 seventh round pick (#236-Jake Witt) on 2022-08-30,,,,,
237,20-Jul,,,,,,,Kenny McIntosh
,,Seahawks,,,,,,
238,21-Jul,,,,,,,Ryan Hayes
,,Dolphins,,,,,,
239,22-Jul,,,,,,,Max Duggan
,,Chargers,,,,,,
240,23-Jul,,,,,,,Derek Parish
,,Ravens,Giants,Jaguars,,,,
,,,,,,,,
,,,Traded ? 2022 fourth round pick (#110-Daniel Faalele) to Ravens for ? Ben Bredeson ? 2022 fifth round pick (#173-Marcus McKethan) ? 2023 seventh round pick (#240-Derek Parish) on 2021-08-31,Traded ? 2023 first round pick (#24-Deonte Banks) to Giants for ? 2023 first round pick (#25-Dalton Kincaid) ? 2023 fifth round pick (#160-Antonio Johnson) ? 2023 seventh round pick (#240-Derek Parish) on 2023-04-27,,,,
241,24-Jul,,,,,,,Cory Trice
,,Vikings,Broncos,Steelers,,,,
,,,,,,,,
,,,Traded ? 2022 seventh round pick (#250-Brittain Brown) to Vikings for ? Stephen Weatherly ? 2023 seventh round pick (#241-Cory Trice) on 2021-10-23,Traded ? 2023 sixth round pick (#195-A.T. Perry) to Broncos for ? Malik Reed ? 2023 seventh round pick (#241-Cory Trice) on 2022-08-30,,,,
242,25-Jul,,,,,,,Anthony Johnson Jr.
,,Jaguars,Packers,,,,,
,,,,,,,,
,,,Traded ? Cole Van Lanen to Jaguars for ? 2023 seventh round pick (#242-Anthony Johnson Jr.) on 2022-08-23,,,,,
243,26-Jul,,,,,,,Jordon Riley
,,Giants,,,,,,
244,27-Jul,,,,,,,Jalen Brooks
,,Cowboys,,,,,,
245,28-Jul,,,,,,,Isaiah Bolden
,,Bills,Falcons,Patriots,,,,
,,,,,,,,
,,,Traded ? Dean Marlowe to Bills for ? 2023 seventh round pick (#245-Isaiah Bolden) on 2022-11-01,Traded ? Jonnu Smith to Falcons for ? 2023 seventh round pick (#245-Isaiah Bolden) on 2023-03-15,,,,
246,29-Jul,,,,,,,D.J. Ivey
,,Bengals,,,,,,
247,30-Jul,,,,,,,Brayden Willis
,,49ers,,,,,,
248,31-Jul,,,,,,,Brandon Hill
,,Eagles,Texans,,,,,
,,,,,,,,
,,,Traded ? 2023 sixth round pick (#191-Trey Palmer) to Eagles for ? 2023 seventh round pick (#230-Nick Broeker) ? 2023 seventh round pick (#248-Brandon Hill) on 2023-04-29,,,,,
249,Jul-32,,,,,,,Moro Ojomo
,,Chiefs,Lions,Eagles,,,,
,,,,,,,,
,,,Traded ? 2023 second round pick (#55-Rashee Rice) ? 2023 sixth round pick (#194-Keondre Coburn) to Chiefs for ? 2023 second round pick (#63-Marvin Mims) ? 2023 fourth round pick (#122-Jon Gaines II) ? 2023 seventh round pick (#249-Moro Ojomo) on 2023-04-28,Traded ? 2023 seventh round pick (#219-Antoine Green) ? 2025 fourth round pick (#134-Que Robinson) to Lions for ? D'Andre Swift ? 2023 seventh round pick (#249-Moro Ojomo) on 2023-04-29,,,,
250,Jul-33,,,,,,,Nic Jones
,,NFL,Chiefs,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Austin Blythe ? Melvin Ingram ? Byron Pringle ? Jarran Reed ? Charvarius Ward,,,,,
251,Jul-34,,,,,,,Spencer Anderson
,,NFL,Rams,Steelers,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Austin Corbett ? Sebastian Joseph ? Von Miller ? Ogbonnia Okoronkwo ? Darious Williams,Traded ? 2023 seventh round pick (#234-Jason Taylor II) to Rams for ? Allen Robinson II ? 2023 seventh round pick (#251-Spencer Anderson) on 2023-04-21,,,,
252,Jul-35,,,,,,,Alex Austin
,,NFL,Buccaneers,Rams,Bills,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Alex Cappa ? O.J. Howard ? Jordan Whitehead,Traded ? 2023 fifth round pick (#171-Payne Durham) to Buccaneers for ? 2023 fifth round pick (#175-Davis Allen) ? 2023 seventh round pick (#252-Alex Austin) on 2023-04-29,Traded ? 2023 sixth round pick (#215-Zach Evans) to Rams for ? 2023 seventh round pick (#252-Alex Austin) ? 2024 sixth round pick (#189-Mekhi Wingo) on 2023-04-29,,,
253,Jul-36,,,,,,,Ronnie Bell
,,NFL,49ers,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? D.J. Jones ? Arden Key ? Raheem Mostert ? Laken Tomlinson ? K'Waun Williams,,,,,
254,Jul-37,,,,,,,Gervarrius Owens
,,NFL,Giants,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Lorenzo Carter ? Keion Crossen ? Evan Engram ? Austin Johnson,,,,,
255,Jul-38,,,,,,,Jalen Graham
,,NFL,49ers,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? D.J. Jones ? Arden Key ? Raheem Mostert ? Laken Tomlinson ? K'Waun Williams,,,,,
256,Jul-39,,,,,,,Grant DuBose
,,NFL,Packers,,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Lucas Patrick ? Chandon Sullivan ? Marquez Valdes-Scantling,,,,,
257,Jul-40,,,,,,,Alex Forsyth
,,NFL,Saints,Broncos,,,,
,,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents ? Terron Armstead ? Marcus Williams,Traded ? 2023 sixth round pick (#195-A.T. Perry) to Saints for ? Adam Trautman ? 2023 seventh round pick (#257-Alex Forsyth) on 2023-04-29,,,,
258,Jul-41,,,,,,,Kendall Williamson
,,NFL,Bears,,,,,
,,,,,,,,
,,,Supplemental pick awarded by NFL because the number of compensatory picks (30) was less than the number of teams in the league (32),,,,,
259,Jul-42,,,,,,,Desjuan Johnson
,,NFL,Texans,Rams,,,,
,,,,,,,,
,,,Supplemental pick awarded by NFL because the number of compensatory picks (30) was less than the number of teams in the league (32),Traded ? 2023 fifth round pick (#167-Henry To'oTo'o) to Texans for ? 2023 fifth round pick (#174-Warren McClendon) ? 2023 seventh round pick (#259-Desjuan Johnson) on 2023-04-29,,,,
