Overall #,Round #,Team,Transactions,,,,Player Drafted
,,,Traded ? 2024 fourth round pick (#120-Jaylen Wright) ? 2025 fifth round pick (#162-Francisco Mauigoa) to Steelers for ? Kevin Dotson ? 2024 fifth round pick (#155-Jeremiah Trotter Jr.) ? 2025 sixth round pick (#195-Luke Newman) on 2023-08-28,Traded ? 2025 fifth round pick (#148-Ty Hamilton) to Rams for ? 2025 sixth round pick (#195-Luke Newman) ? 2026 fourth round pickÿ(?-?)ÿon 2025-04-26,,,
196,20-Jun,,,,,,Ahmed Hassanein
,,Buccaneers,Lions,,,,
,,,,,,,
,,,Traded ? 2024 third round pick (#92-Jalen McMillan) to Buccaneers for ? Carlton Davis ? 2024 sixth round pick (#201-Micah Abraham) ? 2025 sixth round pick (#196-Ahmed Hassanein) on 2024-03-13,,,,
197,21-Jun,,,,,,Graham Mertz
,,Broncos,Texans,,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#241-Caleb Lohner) to Broncos for ? 2025 sixth round pick (#197-Graham Mertz) on 2025-04-26,,,,
198,22-Jun,,,,,,Warren Brinson
,,Packers,,,,,
199,23-Jun,,,,,,Branson Taylor
,,Chargers,,,,,
200,24-Jun,,,,,,Rayuan Lane III
,,Vikings,Browns,Jaguars,,,
,,,,,,,
,,,Traded ? 2024 fifth round pick (#157-Chau Smith-Wade) ? 2025 fifth round pick (#139-Tyrion Ingram-Dawkins) to Vikings for ? Za'Darius Smith ? 2025 sixth round pick (#200-Rayuan Lane III) ? 2025 seventh round pick (#240-Kaden Prather) on 2023-05-16,Traded ? 2025 first round pick (#5-Mason Graham) ? 2025 second round pick (#36-Quinshon Judkins) ? 2025 fourth round pick (#126-Dylan Sampson) ? 2026 first round pickÿ(?-?)ÿto Browns for ? 2025 first round pick (#2-Travis Hunter) ? 2025 fourth round pick (#104-Bhayshul Tuten) ? 2025 sixth round pick (#200-Rayuan Lane III) on 2025-04-24,,,
201,25-Jun,,,,,,Kobe King
,,Rams,Vikings,,,,
,,,,,,,
,,,Traded ? 2025 fifth round pick (#172-Chris Paul Jr.) to Rams for ? 2025 sixth round pick (#201-Kobe King) ? 2025 sixth round pick (#202-Gavin Bartholomew) on 2025-04-26,,,,
202,26-Jun,,,,,,Gavin Bartholomew
,,Texans,Steelers,Bears,Rams,Vikings,
,,,,,,,
,,,Traded ? Kendrick Green to Texans for ? 2025 sixth round pick (#202-Gavin Bartholomew) on 2023-08-29,"Traded ? Justin Fields to Steelers for ? 2025 conditional round pick (fourth round if Fields plays 51% of snaps in 2024, else sixth round) (#202-Gavin Bartholomew) on 2024-03-17",Traded ? Jonah Jackson to Bears for ? 2025 sixth round pick (Texans pick) (#202-Gavin Bartholomew) on 2025-03-12,Traded ? 2025 fifth round pick (#172-Chris Paul Jr.) to Rams for ? 2025 sixth round pick (#201-Kobe King) ? 2025 sixth round pick (#202-Gavin Bartholomew) on 2025-04-26,
203,27-Jun,,,,,,LaJohntay Wester
,,Ravens,,,,,
204,28-Jun,,,,,,Ajani Cornelius
,,Lions,Browns,Bills,Cowboys,,
,,,,,,,
,,,Traded ? Donovan Peoples-Jones to Lions for ? 2025 sixth round pick (#204-Ajani Cornelius) on 2023-10-31,Traded ? 2025 third round pick (#94-Dillon Gabriel) ? 2026 seventh round pickÿ(?-?)ÿto Browns for ? Amari Cooper ? 2025 sixth round pick (Lions pick) (#204-Ajani Cornelius) on 2024-10-15,Traded ? 2025 fifth round pick (#170-Jordan Hancock) ? 2026 seventh round pickÿ(?-?)ÿto Bills for ? Kaiir Elam ? 2025 sixth round pick (Lions pick) (#204-Ajani Cornelius) on 2025-03-12,,
205,29-Jun,,,,,,Kain Medrano
,,Commanders,,,,,
206,30-Jun,,,,,,Chase Lundt
,,Bills,,,,,
207,Jun-31,,,,,,Cameron Williams
,,Chiefs,Jets,Eagles,,,
,,,,,,,
,,,Traded ? Mecole Hardman ? 2025 seventh round pick (#225-Kitan Crawford) to Chiefs for ? 2025 sixth round pick (#207-Cameron Williams) on 2023-10-19,Traded ? 2025 fourth round pick (#130-Malachi Moore) to Jets for ? 2025 fifth round pick (#145-Mac McWilliams) ? 2025 sixth round pick (#207-Cameron Williams) on 2025-04-26,,,
208,Jun-32,,,,,,Jimmy Horn Jr.
,,Eagles,Broncos,Panthers,,,
,,,,,,,
,,,Traded ? Albert Okwuegbunam ? 2025 seventh round pick (#236-LeQuint Allen) to Eagles for ? 2025 sixth round pick (#208-Jimmy Horn Jr.) on 2023-08-29,Traded ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) to Broncos for ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) on 2025-04-25,,,
209,Jun-33,,,,,,Antwaun Powell-Ryland
,,NFL,Chargers,Eagles,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Michael Davis, Austin Ekeler, Gerald Everett, Austin Johnson, Kenneth Murray",Traded ? 2025 fifth round pick (#165-Oronde Gadsden II) to Chargers for ? 2025 sixth round pick (#181-Kyle McCord) ? 2025 sixth round pick (#209-Antwaun Powell-Ryland) on 2025-04-26,,,
210,Jun-34,,,,,,Aeneas Peebles
,,NFL,Ravens,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jadeveon Clowney, Ronald Darby, Devin Duvernay, Gus Edwards, Patrick Queen, John Simpson, Geno Stone, Kevin Zeitler",,,,
211,Jun-35,,,,,,Hayden Conner
,,NFL,Cowboys,Cardinals,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Dorance Armstrong, Tyler Biadasz, Dante Fowler, Tony Pollard, Tyron Smith",Traded ? 2025 fifth round pick (#152-Shemar James) to Cowboys for ? 2025 fifth round pick (#174-Denzel Burke) ? 2025 sixth round pick (#211-Hayden Conner) on 2025-04-26,,,
212,Jun-36,,,,,,Robert Longerbeam
,,NFL,Ravens,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jadeveon Clowney, Ronald Darby, Devin Duvernay, Gus Edwards, Patrick Queen, John Simpson, Geno Stone, Kevin Zeitler",,,,
213,Jun-37,,,,,,Tommy Mellott
,,NFL,Raiders,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jermaine Eluemunor, Austin Hooper, Josh Jacobs, Bilal Nichols, Amik Robertson",,,,
214,Jun-38,,,,,,R.J. Mickens
,,NFL,Chargers,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Michael Davis, Austin Ekeler, Gerald Everett, Austin Johnson, Kenneth Murray",,,,
215,Jun-39,,,,,,Cam Miller
,,NFL,Raiders,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Jermaine Eluemunor, Austin Hooper, Josh Jacobs, Bilal Nichols, Amik Robertson",,,,
216,Jun-40,,,,,,Jeremy Crawshaw
,,NFL,Browns,Texans,Broncos,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Harrison Bryant, Jordan Elliott, Joe Flacco, Sione Takitaki",Traded ? 2025 fifth round pick (#166-Tory Horton) ? 2027 fifth round pickÿ(?-?)ÿto Browns for ? 2025 sixth round pick (#179-Ollie Gordon II) ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#255-Luke Lachey) on 2025-04-24,Traded ? 2025 sixth round pick (#197-Graham Mertz) to Texans for ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#241-Caleb Lohner) on 2025-04-26,,
Round 7,,,,,,,
217,1-Jul,,,,,,Jay Toia
,,Titans,Patriots,Cowboys,,,
,,,,,,,
,,,Traded ? Nick Folk to Titans for ? 2025 seventh round pick (#217-Jay Toia) on 2023-08-29,Traded ? 2025 fifth round pick (#171-Miles Frazier) to Patriots for ? Joe Milton III ? 2025 seventh round pick (Titans pick) (#217-Jay Toia) on 2025-04-03,,,
218,2-Jul,,,,,,Jack Nelson
,,Browns,Chargers,Falcons,,,
,,,,,,,
,,,Traded ? Dustin Hopkins to Browns for ? 2025 seventh round pick (#218-Jack Nelson) on 2023-08-28,"Traded ? Taylor Heinicke to Chargers for ? 2025 conditional round pick (sixth round if Heinicke gets an unspecified amount of playing time, else seventh round) (#218-Jack Nelson) on 2024-08-29",,,
219,3-Jul,,,,,,Thomas Fidone II
,,Giants,,,,,
220,4-Jul,,,,,,Marcus Bryant
,,Patriots,,,,,
221,5-Jul,,,,,,Jonah Monheim
,,Jaguars,,,,,
222,6-Jul,,,,,,Cody Lindenberg
,,Raiders,,,,,
223,7-Jul,,,,,,Damien Martinez
,,Saints,Eagles,Steelers,Seahawks,,
,,,,,,,
,,,"Traded ? 2023 fifth round pick (#165-Terell Smith) ? 2024 sixth round pick (less favorable of Eagles, Titans picks) (#199-Khristian Boyd) to Saints for ? Chauncey Gardner-Johnson / C.J. Gardner-Johnson ? 2025 seventh round pick (#223-Damien Martinez) on 2022-08-30","Traded ? Kenny Pickett ? 2024 fourth round pick (#120-Jaylen Wright) to Eagles for ? 2024 third round pick (#98-Payton Wilson) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#223-Damien Martinez) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#229-Donte Kent) on 2024-03-16",Traded ? D.K. Metcalf ? 2025 sixth round pick (Bears pick) (#185-Will Howard) to Steelers for ? 2025 second round pick (#52-Oluwafemi Oladejo) ? 2025 seventh round pick (Saints pick) (#223-Damien Martinez) on 2025-03-13,,
224,8-Jul,,,,,,Kyonte Hamilton
,,Bears,Dolphins,Texans,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#192-Bryce Cabeldue) to Bears for ? Chase Claypool ? 2025 seventh round pick (#224-Kyonte Hamilton) on 2023-10-06,Traded ? 2024 sixth round pick (#179-Ollie Gordon II) ? 2026 third round pickÿ(?-?)ÿto Dolphins for ? 2025 fourth round pick (#116-Woody Marks) ? 2025 seventh round pick (#224-Kyonte Hamilton) on 2025-04-26,,,
225,9-Jul,,,,,,Kitan Crawford
,,Jets,Chiefs,Cardinals,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#207-Cameron Williams) to Jets for ? Mecole Hardman ? 2025 seventh round pick (#225-Kitan Crawford) on 2023-10-19,Traded ? Cam Thomas to Chiefs for ? 2025 seventh round pick (Jets pick) (#225-Kitan Crawford) on 2024-08-27,,,
226,10-Jul,,,,,,Carson Bruener
,,Panthers,Chiefs,Steelers,,,
,,,,,,,
,,,Traded ? Ihmir Smith-Marsette ? 2025 conditional seventh round pick (#247-Tommy Akingbesote ) to Panthers for ? 2025 conditional seventh round pick (#226-Carson Bruener) on 2023-08-29,Traded ? 2025 fifth round pick (#156-Jeffrey Bassa) to Chiefs for ? 2025 fifth round pick (#164-Yahya Black) ? 2025 seventh round pick (#226-Carson Bruener) on 2025-04-26,,,
227,11-Jul,,,,,,Kurtis Rourke
,,49ers,,,,,
228,12-Jul,,,,,,Brashard Smith
,,Cowboys,Lions,Patriots,Chiefs,,
,,,,,,,
,,,Traded ? 2024 first round pick (#29-Tyler Guyton) ? 2024 third round pick (#73-Cooper Beebe) to Cowboys for ? 2024 first round pick (#24-Terrion Arnold) ? 2025 seventh round pick (#228-Brashard Smith) on 2024-04-25,Traded ? 2025 fifth round pick (#171-Miles Frazier) to Lions for ? 2025 sixth round pick (#182-Andres Borregales) ? 2025 seventh round pick (#228-Brashard Smith) on 2025-04-26,Traded ? 2025 seventh round pick (#251-Julian Ashby) ? 2025 seventh round pick (#257-Kobee Minor) to Patriots for ? 2025 seventh round pick (#228-Brashard Smith) on 2025-04-26,,
229,13-Jul,,,,,,Donte Kent
,,Falcons,Eagles,Steelers,,,
,,,,,,,
,,,"Traded ? Kentavius Street ? 2025 conditional seventh round pick (if Street plays in at least 6 games for Falcons) (not exercised) to Falcons for ? conditional draft pick (2024 sixth round if Street plays in at least 6 games for Falcons, else 2025 seventh round) (#229-Donte Kent) on 2023-10-31","Traded ? Kenny Pickett ? 2024 fourth round pick (#120-Jaylen Wright) to Eagles for ? 2024 third round pick (#98-Payton Wilson) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#223-Damien Martinez) ? 2025 seventh round pick (most favorable of Broncos, Eagles, Falcons, Saints picks) (#229-Donte Kent) on 2024-03-16",,,
230,14-Jul,,,,,,Dan Jackson
,,Cardinals,Panthers,Broncos,Lions,,
,,,,,,,
,,,Traded ? Robbie Anderson to Cardinals for ? 2024 sixth round pick (#178-Logan Lee) ? 2025 seventh round pick (#230-Dan Jackson) on 2022-10-17,Traded ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) to Panthers for ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) on 2025-04-25,Traded ? 2025 second round pick (#60-R.J. Harvey) ? 2025 fourth round pick (#130-Malachi Moore) to Broncos for ? 2025 second round pick (Rams pick) (#57-Tate Ratledge) ? 2025 seventh round pick (#230-Dan Jackson) on 2025-04-25,,
231,15-Jul,,,,,,Quinn Ewers
,,Dolphins,,,,,
232,16-Jul,,,,,,Hunter Wohler
,,Colts,,,,,
233,17-Jul,,,,,,Kyle Monangai
,,Bengals,Bears,,,,
,,,,,,,
,,,Traded ? Khalil Herbert to Bengals for ? 2025 seventh round pick (#233-Kyle Monangai) on 2024-11-05,,,,
234,18-Jul,,,,,,Mason Richman
,,Seahawks,,,,,
235,19-Jul,,,,,,Tez Johnson
,,Buccaneers,,,,,
236,20-Jul,,,,,,LeQuint Allen
,,Broncos,Eagles,Commanders,Texans,Jaguars,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#208-Jimmy Horn Jr.) to Broncos for ? Albert Okwuegbunam ? 2025 seventh round pick (#236-LeQuint Allen) on 2023-08-29,"Traded ? Jahan Dotson ? 2025 fifth round pick (#165-Oronde Gadsden II) to Eagles for ? 2025 third round pick (more favorable of Dolphins, Eagles picks) (#79-Jaylin Noel) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#236-LeQuint Allen) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#248-Moliki Matavao) on 2024-08-22",Traded ? Laremy Tunsil ? 2025 fourth round pick (#128-Jaylin Lane) to Commanders for ? 2025 third round pick (Dolphins pick) (#79-Jaylin Noel) ? 2025 seventh round pick (Broncos pick) (#236-LeQuint Allen) ? 2026 second round pickÿ(?-?)ÿ? 2026 fourth round pickÿ(?-?)ÿon 2025-03-15,Traded ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) to Texans for ? 2025 third round pick (#89-Wyatt Milum) ? 2025 seventh round pick (#236-LeQuint Allen) on 2025-04-25,
237,21-Jul,,,,,,Micah Robinson
,,Steelers,Packers,,,,
,,,,,,,
,,,Traded ? Preston Smith to Steelers for ? 2025 seventh round pick (#237-Micah Robinson) on 2024-11-05,,,,
238,22-Jul,,,,,,Ricky White III
,,Chargers,Patriots,Seahawks,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#181-Kyle McCord) to Chargers for ? J.C. Jackson ? 2025 seventh round pick (#238-Ricky White III) on 2023-10-05,Traded ? 2025 fourth round pick (#137-Joshua Farmer) to Patriots for ? 2025 fifth round pick (#144-Shedeur Sanders) ? 2025 seventh round pick (#238-Ricky White III) on 2025-04-26,,,
239,23-Jul,,,,,,Phil Mafah
,,Packers,Titans,Cowboys,,,
,,,,,,,
,,,Traded ? Malik Willis to Packers for ? 2025 seventh round pick (#239-Phil Mafah) on 2024-08-27,Traded ? 2025 sixth round pick (#188-Kalel Mullings) to Titans for ? Kenneth Murray Jr. ? 2025 seventh round pick (Packers pick) (#239-Phil Mafah) on 2025-03-13,,,
240,24-Jul,,,,,,Kaden Prather
,,Vikings,Browns,Bears,Bills,,
,,,,,,,
,,,Traded ? 2024 fifth round pick (#157-Chau Smith-Wade) ? 2025 fifth round pick (#139-Tyrion Ingram-Dawkins) to Vikings for ? Za'Darius Smith ? 2025 sixth round pick (#200-Rayuan Lane III) ? 2025 seventh round pick (#240-Kaden Prather) on 2023-05-16,Traded ? 2025 sixth round pick (Dolphins pick) (#192-Bryce Cabeldue) to Browns for ? Chris Williams ? 2025 seventh round pick (Vikings pick) (#240-Kaden Prather) on 2024-08-24,Traded ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) ? 2025 second round pick (#62-Shemar Turner) ? 2025 fourth round pick (#109-Deone Walker) to Bears for ? 2025 second round pick (#41-T.J. Sanders) ? 2025 third round pick (#72-Landon Jackson) ? 2025 seventh round pick (#240-Kaden Prather) on 2025-04-25,,
241,25-Jul,,,,,,Caleb Lohner
,,Texans,Broncos,,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#197-Graham Mertz) to Texans for ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#241-Caleb Lohner) on 2025-04-26,,,,
242,26-Jul,,,,,,Konata Mumpfield
,,Rams,Falcons,Rams,,,
,,,,,,,
,,,Traded ? 2025 sixth round pick (#190-Tim Smith) to Rams for ? Van Jefferson ? 2025 seventh round pick (#242-Konata Mumpfield) on 2023-10-10,Traded ? 2025 first round pick (#26-James Pearce Jr.) ? 2025 third round pick (#101-Sai'vion Jones) to Falcons for ? 2025 second round pick (#46-Terrance Ferguson) ? 2025 seventh round pick (#242-Konata Mumpfield) ? 2026 first round pickÿ(?-?)ÿon 2025-04-24,,,
243,27-Jul,,,,,,Garrett Dellinger
,,Ravens,,,,,
244,28-Jul,,,,,,Dominic Lovett
,,Lions,,,,,
245,29-Jul,,,,,,Jacory Croskey-Merritt
,,Commanders,,,,,
246,30-Jul,,,,,,Korie Black
,,Bills,Giants,,,,
,,,,,,,
,,,"Traded ? 2025 sixth round pick (#177-Dorian Strong) to Bills for ? Carlos ""Boogie"" Basham ? 2025 seventh round pick (#246-Korie Black) on 2023-08-29",,,,
247,31-Jul,,,,,,Tommy Akingbesote
,,Chiefs,Panthers,Cowboys,,,
,,,,,,,
,,,Traded ? 2025 conditional seventh round pick (#226-Carson Bruener) to Chiefs for ? Ihmir Smith-Marsette ? 2025 conditional seventh round pick (#247-Tommy Akingbesote ) on 2023-08-29,Traded ? 2025 fourth round pick (#114-Trevor Etienne) to Panthers for ? Jonathan Mingo ? 2025 seventh round pick (Chiefs pick) (#247-Tommy Akingbesote ) on 2024-11-05,,,
248,Jul-32,,,,,,Moliki Matavao
,,Eagles,Commanders,Saints,,,
,,,,,,,
,,,"Traded ? Jahan Dotson ? 2025 fifth round pick (#165-Oronde Gadsden II) to Eagles for ? 2025 third round pick (more favorable of Dolphins, Eagles picks) (#79-Jaylin Noel) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#236-LeQuint Allen) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#248-Moliki Matavao) on 2024-08-22",Traded ? 2025 sixth round pick (#184-Devin Neal) to Commanders for ? John Ridgeway ? 2025 conditional seventh round pick (Eagles pick) (#248-Moliki Matavao) on 2024-08-29,,,
249,Jul-33,,,,,,Connor Colby
,,NFL,Browns,49ers,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Harrison Bryant, Jordan Elliott, Joe Flacco, Sione Takitaki",,,,
250,Jul-34,,,,,,John Williams
,,NFL,Packers,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Yosuah Nijman, Jon Runyan, Darnell Savage",,,,
251,Jul-35,,,,,,Julian Ashby
,,NFL,Chiefs,Patriots,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Nick Allegretti, Willie Gay, Tommy Townsend",Traded ? 2025 seventh round pick (#228-Brashard Smith) to Chiefs for ? 2025 seventh round pick (#251-Julian Ashby) ? 2025 seventh round pick (#257-Kobee Minor) on 2025-04-26,,,
252,Jul-36,,,,,,Junior Bergen
,,NFL,49ers,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Sam Darnold, Clelin Ferrell, Sebastian Joseph-Day, Javon Kinlaw, Ray-Ray McCloud, Charlie Woerner, Chase Young",,,,
253,Jul-37,,,,,,Zeek Biggers
,,NFL,Dolphins,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Raekwon Davis, DeShon Elliott, Robert Hunt, Brandon Jones, Andrew Van Ginkel, Christian Wilkins",,,,
254,Jul-38,,,,,,Fadil Diggs
,,NFL,Saints,,,,
,,,,,,,
,,,Compensatory pick awarded by NFL for loss of free agents,,,,
255,Jul-39,,,,,,Luke Lachey
,,NFL,Browns,Texans,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Harrison Bryant, Jordan Elliott, Joe Flacco, Sione Takitaki",Traded ? 2025 fifth round pick (#166-Tory Horton) ? 2027 fifth round pickÿ(?-?)ÿto Browns for ? 2025 sixth round pick (#179-Ollie Gordon II) ? 2025 sixth round pick (#216-Jeremy Crawshaw) ? 2025 seventh round pick (#255-Luke Lachey) on 2025-04-24,,,
256,Jul-40,,,,,,Trikweze Bridges
,,NFL,Chargers,,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Michael Davis, Austin Ekeler, Gerald Everett, Austin Johnson, Kenneth Murray",,,,
257,Jul-41,,,,,,Kobee Minor
,,NFL,Chiefs,Patriots,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Nick Allegretti, Willie Gay, Tommy Townsend",Traded ? 2025 seventh round pick (#228-Brashard Smith) to Chiefs for ? 2025 seventh round pick (#251-Julian Ashby) ? 2025 seventh round pick (#257-Kobee Minor) on 2025-04-26,,,
