Overall #,Round #,Team,Transactions,,,,Player Drafted
,,Falcons,Patriots,Panthers,,,
,,,,,,,
,,,Traded ? Matt Judon to Falcons for ? 2025 third round pick (#77-Princely Umanmielen) on 2024-08-15,Traded ? 2025 third round pick (#85-Nohl Williams) ? 2025 fifth round pick (#146-Bradyn Swinson) to Patriots for ? 2025 third round pick (#77-Princely Umanmielen) on 2025-04-25,,,
78,14-Mar,,,,,,Jordan Burch
,,Cardinals,,,,,
79,15-Mar,,,,,,Jaylin Noel
,,Dolphins,Eagles,Commanders,Texans,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#120-Jaylen Wright) to Dolphins for ? 2025 third round pick (#79-Jaylin Noel) on 2024-04-27,"Traded ? Jahan Dotson ? 2025 fifth round pick (#165-Oronde Gadsden II) to Eagles for ? 2025 third round pick (more favorable of Dolphins, Eagles picks) (#79-Jaylin Noel) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#236-LeQuint Allen) ? 2025 seventh round pick (two least favorable of Broncos, Eagles, Falcons Saints picks) (#248-Moliki Matavao) on 2024-08-22",Traded ? Laremy Tunsil ? 2025 fourth round pick (#128-Jaylin Lane) to Commanders for ? 2025 third round pick (Dolphins pick) (#79-Jaylin Noel) ? 2025 seventh round pick (Broncos pick) (#236-LeQuint Allen) ? 2026 second round pickÿ(?-?)ÿ? 2026 fourth round pickÿ(?-?)ÿon 2025-03-15,,
80,16-Mar,,,,,,Justin Walley
,,Colts,,,,,
81,17-Mar,,,,,,Dylan Fairchild
,,Bengals,,,,,
82,18-Mar,,,,,,Kevin Winston Jr.
,,Seahawks,Titans,,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#35-Nick Emmanwori) to Seahawks for ? 2025 second round pick (Steelers pick) (#52-Oluwafemi Oladejo) ? 2025 third round pick (#82-Kevin Winston Jr.) on 2025-04-25,,,,
83,19-Mar,,,,,,Kaleb Johnson
,,Steelers,,,,,
84,20-Mar,,,,,,Jacob Parrish
,,Buccaneers,,,,,
85,21-Mar,,,,,,Nohl Williams
,,Broncos,Panthers,Patriots,Chiefs,,
,,,,,,,
,,,Traded ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) to Broncos for ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) on 2025-04-25,Traded ? 2025 third round pick (#77-Princely Umanmielen) to Panthers for ? 2025 third round pick (#85-Nohl Williams) ? 2025 fifth round pick (#146-Bradyn Swinson) on 2025-04-25,Traded ? 2025 third round pick (#95-Jared Wilson) ? 2026 fourth round pick (Bears pick)ÿ(?-?)ÿto Patriots for ? 2025 third round pick (#85-Nohl Williams) on 2025-04-25,,
86,22-Mar,,,,,,Jamaree Caldwell
,,Chargers,,,,,
87,23-Mar,,,,,,Savion Williams
,,Packers,,,,,
88,24-Mar,,,,,,Caleb Ransaw
,,Vikings,Jaguars,,,,
,,,,,,,
,,,Traded ? 2024 first round pick (#17-Dallas Turner) to Vikings for ? 2024 first round pick (#23-Brian Thomas Jr.) ? 2024 fifth round pick (#167-Keilan Robinson) ? 2025 third round pick (#88-Caleb Ransaw) ? 2025 fourth round pick (#126-Dylan Sampson) on 2024-04-25,,,,
89,25-Mar,,,,,,Wyatt Milum
,,Texans,Jaguars,,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) to Texans for ? 2025 third round pick (#89-Wyatt Milum) ? 2025 seventh round pick (#236-LeQuint Allen) on 2025-04-25,,,,
90,26-Mar,,,,,,Josaiah Stewart
,,Rams,,,,,
91,27-Mar,,,,,,Emery Jones Jr.
,,Ravens,,,,,
92,28-Mar,,,,,,Jalen Milroe
,,Lions,Jets,Raiders,Seahawks,,
,,,,,,,
,,,Traded ? 2024 fourth round pick (#126-Giovanni Manu) to Lions for ? 2025 third round pick (#92-Jalen Milroe) on 2024-04-27,"Traded ? Davante Adams to Jets for ? 2025 conditional round pick (second round if Adams is first or second team All-Pro in 2024 or is on Jets active roster for AFC championship game or Super Bowl, else third round) (#92-Jalen Milroe) on 2024-10-15",Traded ? Geno Smith to Raiders for ? 2025 third round pick (Lions pick) (#92-Jalen Milroe) on 2025-03-13,,
93,29-Mar,,,,,,Jonas Sanker
,,Commanders,Saints,,,,
,,,,,,,
,,,Traded ? Marshon Lattimore ? 2025 fifth round pick (#147-Jordan James) to Commanders for ? 2025 third round pick (#93-Jonas Sanker) ? 2025 fourth round pick (#131-Quincy Riley) ? 2025 sixth round pick (Saints pick) (#184-Devin Neal) on 2024-11-05,,,,
94,30-Mar,,,,,,Dillon Gabriel
,,Bills,Browns,,,,
,,,,,,,
,,,Traded ? Amari Cooper ? 2025 sixth round pick (Lions pick) (#204-Ajani Cornelius) to Bills for ? 2025 third round pick (#94-Dillon Gabriel) ? 2026 seventh round pickÿ(?-?)ÿon 2024-10-15,,,,
95,31-Mar,,,,,,Jared Wilson
,,Chiefs,Patriots,,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#85-Nohl Williams) to Chiefs for ? 2025 third round pick (#95-Jared Wilson) ? 2026 fourth round pickÿ(?-?)ÿon 2025-04-25,,,,
96,Mar-32,,,,,,Xavier Watts
,,Eagles,Falcons,,,,
,,,,,,,
,,,Traded ? 2025 third round pick (#101-Sai'vion Jones) ? 2026 fifth round pickÿ(?-?)ÿto Eagles for ? 2025 third round pick (#96-Xavier Watts) on 2025-04-25,,,,
97,Mar-33,,,,,,Jaylin Smith
,,NFL,Vikings,Texans,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Kirk Cousins, Danielle Hunter, Marcus Davenport, Jordan Hicks, K.J. Osborn, D.J. Wonnum",Traded ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) to Vikings for ? 2025 third round pick (#97-Jaylin Smith) ? 2025 sixth round pick (#187-Jaylen Reed) on 2025-04-25,,,
98,Mar-34,,,,,,Caleb Rogers
,,NFL,Dolphins,Raiders,,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Raekwon Davis, DeShon Elliott, Robert Hunt, Brandon Jones, Andrew Van Ginkel, Christian Wilkins",Traded ? 2025 second round pick (#37-Jonah Savaiinaea) ? 2025 fifth round pick (#143-Jordan Phillips) to Dolphins for ? 2025 second round pick (#48-Aireontae Ersery) ? 2025 third round pick (#98-Caleb Rogers) ? 2025 fourth round pick (#135-Tonka Hemingway) on 2025-04-25,,,
99,Mar-35,,,,,,Charles Grant
,,NFL,Giants,Texans,Raiders,,
,,,,,,,
,,,"Compensatory pick awarded by NFL for loss of free agents Saquon Barkley, Ben Bredeson, Xavier McKinney, A'Shawn Robinson, Tyrod Taylor",Traded ? 2025 first round pick (#25-Jaxson Dart) to Giants for ? 2025 second round pick (#34-Jayden Higgins) ? 2025 third round pick (#99-Charles Grant) ? 2026 third round pickÿ(?-?)ÿon 2025-04-24,Traded ? 2025 second round pick (#48-Aireontae Ersery) to Texans for ? 2025 second round pick (#58-Jack Bech) ? 2025 third round pick (#99-Charles Grant) on 2025-04-25,,
100,Mar-36,,,,,,Upton Stout
,,NFL,49ers,,,,
,,,,,,,
,,,Awarded ? 2025 third round pick (#100-Upton Stout) by NFL as compensation for Texans hiring former 49ers defensive coordinator DeMeco Ryans as head coach,,,,
101,Mar-37,,,,,,Sai'vion Jones
,,NFL,Rams,Falcons,Eagles,Broncos,
,,,,,,,
,,,Awarded ? 2024 third round pick (#99-Kamren Kinchens) ? 2025 third round pick (#101-Sai'vion Jones) by NFL as compensation for Falcons hiring former Rams defensive coordinator Raheem Morris as their head coach,Traded ? 2025 second round pick (#46-Terrance Ferguson) ? 2025 seventh round pick (#242-Konata Mumpfield) ? 2026 first round pickÿ(?-?)ÿto Rams for ? 2025 first round pick (#26-James Pearce Jr.) ? 2025 third round pick (#101-Sai'vion Jones) on 2025-04-24,Traded ? 2025 third round pick (#96-Xavier Watts) to Falcons for ? 2025 third round pick (#101-Sai'vion Jones) ? 2026 fifth round pickÿ(?-?)ÿon 2025-04-25,Traded ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 fourth round pick (#130-Malachi Moore) ? 2025 sixth round pick (#191-Myles Hinton) to Eagles for ? 2025 third round pick (Rams pick) (#101-Sai'vion Jones) ? 2025 fourth round pick (#134-Que Robinson) on 2025-04-25,
102,Mar-38,,,,,,Tai Felton
,,NFL,Lions,Jaguars,Texans,Vikings,
,,,,,,,
,,,Awarded ? 2025 third round pick (#102-Tai Felton) ? 2026 third round pickÿ(?-?)ÿby NFL on 2025-03-11 as compensation for Jets hiring former Lions defensive coordinator Aaron Glenn as head coach,Traded ? 2025 third round pick (#70-Isaac TeSlaa) ? 2025 sixth round pick (#182-Andres Borregales) ? 2026 sixth round pickÿ(?-?)ÿto Lions for ? 2025 third round pick (#102-Tai Felton) ? 2026 third round pickÿ(?-?)ÿ? 2026 third round pickÿ(?-?)ÿon 2025-04-25,Traded ? 2025 third round pick (#89-Wyatt Milum) ? 2025 seventh round pick (#236-LeQuint Allen) to Jaguars for ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) on 2025-04-25,Traded ? 2025 third round pick (#97-Jaylin Smith) ? 2025 sixth round pick (#187-Jaylen Reed) to Texans for ? 2025 third round pick (#102-Tai Felton) ? 2025 fifth round pick (#142-Rylie Mills) on 2025-04-25,
Round 4,,,,,,,
103,1-Apr,,,,,,Chimere Dike
,,Titans,,,,,
104,2-Apr,,,,,,Bhayshul Tuten
,,Browns,Jaguars,,,,
,,,,,,,
,,,Traded ? 2025 first round pick (#5-Mason Graham) ? 2025 second round pick (#36-Quinshon Judkins) ? 2025 fourth round pick (#126-Dylan Sampson) ? 2026 first round pickÿ(?-?)ÿto Browns for ? 2025 first round pick (#2-Travis Hunter) ? 2025 fourth round pick (#104-Bhayshul Tuten) ? 2025 sixth round pick (#200-Rayuan Lane III) on 2025-04-24,,,,
105,3-Apr,,,,,,Cam Skattebo
,,Giants,,,,,
106,4-Apr,,,,,,Craig Woodson
,,Patriots,,,,,
107,5-Apr,,,,,,Jack Kiser
,,Jaguars,,,,,
108,6-Apr,,,,,,Dont'e Thornton Jr.
,,Raiders,,,,,
109,7-Apr,,,,,,Deone Walker
,,Bears,Bills,Bears,Bills,,
,,,,,,,
,,,Traded ? 2024 fifth round pick (#144-Austin Booker) to Bears for ? 2025 fourth round pick (#109-Deone Walker) on 2024-04-27,Traded ? 2025 second round pick (#41-T.J. Sanders) ? 2025 third round pick (#72-Landon Jackson) ? 2025 seventh round pick (#240-Kaden Prather) to Bills for ? 2025 second round pick (Vikings pick) (#56-Ozzy Trapilo) ? 2025 second round pick (#62-Shemar Turner) ? 2025 fourth round pick (#109-Deone Walker) on 2025-04-25,Traded ? 2025 fourth round pick (#132-Ruben Hyppolite II) ? 2025 fifth round pick (#169-Zah Frazier) to Bears for ? 2025 fourth round pick (#109-Deone Walker) on 2025-04-26,,
110,8-Apr,,,,,,Arian Smith
,,Jets,,,,,
111,9-Apr,,,,,,Ty Robinson
,,Panthers,Broncos,Eagles,,,
,,,,,,,
,,,Traded ? 2025 second round pick (#51-Nic Scourton) ? 2025 third round pick (#85-Nohl Williams) ? 2025 fourth round pick (#122-Lathan Ransom) ? 2025 sixth round pick (#208-Jimmy Horn Jr.) to Panthers for ? 2025 second round pick (#57-Tate Ratledge) ? 2025 third round pick (#74-Pat Bryant) ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 seventh round pick (#230-Dan Jackson) on 2025-04-25,Traded ? 2025 third round pick (Rams pick) (#101-Sai'vion Jones) ? 2025 fourth round pick (#134-Que Robinson) to Broncos for ? 2025 fourth round pick (#111-Ty Robinson) ? 2025 fourth round pick (#130-Malachi Moore) ? 2025 sixth round pick (#191-Myles Hinton) on 2025-04-25,,,
112,10-Apr,,,,,,Danny Stutsman
,,Saints,,,,,
113,11-Apr,,,,,,C.J. West
,,49ers,,,,,
114,12-Apr,,,,,,Trevor Etienne
,,Cowboys,Panthers,,,,
,,,,,,,
,,,Traded ? Jonathan Mingo ? 2025 seventh round pick (Chiefs pick) (#247-Tommy Akingbesote ) to Cowboys for ? 2025 fourth round pick (#114-Trevor Etienne) on 2024-11-05,,,,
115,13-Apr,,,,,,Cody Simon
,,Cardinals,,,,,
116,14-Apr,,,,,,Woody Marks
,,Dolphins,Texans,,,,
,,,,,,,
